fq;SMA
0;-0,0550156
0,1;0,0172456
0,2;-0,0791241
0,3;-0,0430156
0,4;0,0332456
0,5;0,0020626
0,6;-0,0073472
0,7;0,0300266
0,8;-0,0233571
0,9;-0,0431241
1;-0,0766068
1,1;-0,0531698
1,2;-0,0330712
1,3;-0,05535
1,4;-0,0502613
1,5;-0,0961786
1,6;-0,0617346
1,7;-0,0659045
1,8;-0,1069058
1,9;-0,1087875
2;-0,1445467
2,1;-0,0975841
2,2;-0,1009655
2,3;-0,1093366
2,4;-0,0647622
2,5;-0,1058281
2,6;-0,1268201
2,7;-0,1512108
2,8;-0,1408957
2,9;-0,1300397
3;-0,1458373
3,1;-0,150654
3,2;-0,1468922
3,3;-0,159945
3,4;-0,1831922
3,5;-0,1637437
3,6;-0,194419
3,7;-0,1837161
3,8;-0,2129409
3,9;-0,202599
4;-0,1813479
4,1;-0,232425
4,2;-0,2089142
4,3;-0,1804513
4,4;-0,1569794
4,5;-0,2220771
4,6;-0,2032918
4,7;-0,1373047
4,8;-0,1556234
4,9;-0,1595752
5;-0,1519069
5,1;-0,149644
5,2;-0,1659946
5,3;-0,1888155
5,4;-0,2901689
5,5;-0,2206507
5,6;-0,1747474
5,7;-0,2405185
5,8;-0,2015844
5,9;-0,1876131
6;-0,2329909
6,1;-0,2003001
6,2;-0,167105
6,3;-0,1781311
6,4;-0,2503077
6,5;-0,234516
6,6;-0,1723891
6,7;-0,0380521
6,8;-0,0919134
6,9;-0,2035755
7;-0,1406701
7,1;-0,1542623
7,2;-0,2361542
7,3;-0,2366365
7,4;-0,2185974
7,5;-0,1349327
7,6;-0,1366278
7,7;-0,1869214
7,8;-0,2862935
7,9;-0,2104151
8;-0,2232157
8,1;-0,1725743
8,2;-0,1603069
8,3;-0,2363884
8,4;-0,1949483
8,5;-0,1824849
8,6;-0,2280307
8,7;-0,1834966
8,8;-0,1560765
8,9;-0,1966293
9;-0,2845044
9,1;-0,2755543
9,2;-0,2991472
9,3;-0,2331583
9,4;-0,2231182
9,5;-0,2106482
9,6;-0,1824417
9,7;-0,4565742
9,8;-0,3412456
9,9;-0,4727169
10;-0,2568889
10,1;-0,2246634
10,2;-0,2718772
10,3;-0,2976528
10,4;-0,3198075
10,5;-0,2922422
10,6;-0,2164263
10,7;-0,242766
10,8;-0,2162966
10,9;-0,2141491
11;-0,3717216
11,1;-0,4441243
11,2;-0,419084
11,3;-0,2647034
11,4;-0,1890181
11,5;-0,2448797
11,6;-0,2887305
11,7;-0,3025418
11,8;-0,1822265
11,9;-0,3523531
12;-0,3385028
12,1;-0,1316396
12,2;-0,2131656
12,3;-0,1596284
12,4;-0,1917614
12,5;-0,2690979
12,6;-0,23052
12,7;-0,2392344
12,8;-0,2443212
12,9;-0,3759089
13;-0,2413795
13,1;-0,3180947
13,2;-0,2810686
13,3;-0,199853
13,4;-0,2980916
13,5;-0,3264956
13,6;-0,4207409
13,7;-0,4194026
13,8;-0,3122203
13,9;-0,4202417
14;-0,2490194
14,1;-0,2217021
14,2;-0,150355
14,3;-0,312778
14,4;-0,312778
14,5;-0,312778
14,6;-0,2888476
14,7;-0,4687079
14,8;-0,4617531
14,9;-0,3054976
15;-0,3331162
15,1;-0,4429005
15,2;-0,3127315
15,3;-0,4189619
15,4;-0,3664604
15,5;-0,2150057
15,6;-0,3574912
15,7;-0,4745673
15,8;-0,4192077
15,9;-0,4192077
16;-0,3875644
16,1;-0,2325114
16,2;-0,2882586
16,3;-0,3283642
16,4;-0,4209182
16,5;-0,5651664
16,6;-0,8228965
16,7;-0,5041535
16,8;-0,3767635
16,9;-0,6358236
17;-0,6535707
17,1;-0,3510344
17,2;-0,6296593
17,3;-0,5465129
17,4;-0,7473154
17,5;-0,5984204
17,6;-0,310156
17,7;-0,4754945
17,8;-0,4754945
17,9;-0,4754945
18;-0,4500839
18,1;-0,377188
18,2;-0,4500839
18,3;-0,377188
18,4;-0,3879123
18,5;-0,4500839
18,6;-0,4754945
18,7;-0,4754945
18,8;-0,2421318
18,9;-0,1202848
19;-0,3701009
19,1;-0,4754945
19,2;-0,5767427
19,3;-0,5767427
19,4;-0,4054846
19,5;-0,3130862
19,6;-0,8108373
19,7;-0,4500839
19,8;-0,2049612
19,9;-0,4411288
20;-0,3479495
