fq;SMA
0;-0,0550156
0,1;-0,0550156
0,2;-0,0791241
0,3;-0,0430156
0,5;-0,0332456
0,6;-0,0332456
0,7;-0,0300266
0,8;-0,0300266
1;-0,0233571
1,1;-0,0431241
1,2;-0,0766068
1,3;-0,0531698
1,5;-0,0330712
1,6;-0,05535
1,7;-0,0502613
1,8;-0,0961786
2;-0,0617346
2,1;-0,0659045
2,2;-0,1069058
2,3;-0,1087875
2,5;-0,1445467
2,6;-0,0975841
2,7;-0,1009655
2,8;-0,1093366
3;-0,0647622
3,1;-0,1058281
3,2;-0,1268201
3,3;-0,1512108
3,5;-0,1408957
3,6;-0,1300397
3,7;-0,1458373
3,8;-0,150654
4;-0,1468922
4,1;-0,159945
4,2;-0,1831922
4,3;-0,1637437
4,5;-0,194419
4,6;-0,1837161
4,7;-0,2129409
4,8;-0,202599
5;-0,1813479
5,1;-0,232425
5,2;-0,2089142
5,3;-0,1804513
5,5;-0,1569794
5,6;-0,2220771
5,7;-0,2032918
5,8;-0,1373047
6;-0,1556234
6,1;-0,1595752
6,2;-0,1519069
6,3;-0,149644
6,5;-0,1659946
6,6;-0,1888155
6,7;-0,2901689
6,8;-0,2206507
7;-0,1747474
7,1;-0,2405185
7,2;-0,2015844
7,3;-0,1876131
7,5;-0,2329909
7,6;-0,2003001
7,7;-0,167105
7,8;-0,1781311
8;-0,2503077
8,1;-0,234516
8,2;-0,1723891
8,3;-0,0380521
8,5;-0,0919134
8,6;-0,2035755
8,7;-0,1406701
8,8;-0,1542623
9;-0,2361542
9,1;-0,2366365
9,2;-0,2185974
9,3;-0,1349327
9,5;-0,1366278
9,6;-0,1869214
9,7;-0,2862935
9,8;-0,2104151
10;-0,2232157
10,1;-0,1725743
10,2;-0,1603069
10,3;-0,2363884
10,5;-0,1949483
10,6;-0,1824849
10,7;-0,2280307
10,8;-0,1834966
11;-0,1560765
11,1;-0,1966293
11,2;-0,2845044
11,3;-0,2755543
11,5;-0,2991472
11,6;-0,2331583
11,7;-0,2231182
11,8;-0,2106482
12;-0,1824417
12,1;-0,4565742
12,2;-0,3412456
12,3;-0,4727169
12,5;-0,2568889
12,6;-0,2246634
12,7;-0,2718772
12,8;-0,2976528
13;-0,3198075
13,1;-0,2922422
13,2;-0,2164263
13,3;-0,242766
13,5;-0,2162966
13,6;-0,2141491
13,7;-0,3717216
13,8;-0,4441243
14;-0,419084
14,1;-0,2647034
14,2;-0,1890181
14,3;-0,2448797
14,5;-0,2887305
14,6;-0,3025418
14,7;-0,1822265
14,8;-0,3523531
15;-0,3385028
15,1;-0,1316396
15,2;-0,2131656
15,3;-0,1596284
15,5;-0,1917614
15,6;-0,2690979
15,7;-0,23052
15,8;-0,2392344
16;-0,2443212
16,1;-0,3759089
16,2;-0,2413795
16,3;-0,3180947
16,5;-0,2810686
16,6;-0,199853
16,7;-0,2980916
16,8;-0,3264956
17;-0,4207409
17,1;-0,4194026
17,2;-0,3122203
17,3;-0,4202417
17,5;-0,2490194
17,6;-0,2217021
17,7;-0,150355
17,8;-0,312778
18;-0,312778
18,1;-0,312778
18,2;-0,2888476
18,3;-0,4687079
18,5;-0,4617531
18,6;-0,3054976
18,7;-0,3331162
18,8;-0,4429005
19;-0,3127315
19,1;-0,4189619
19,2;-0,3664604
19,3;-0,2150057
19,5;-0,3574912
19,6;-0,4745673
19,7;-0,4192077
19,8;-0,4192077
20;-0,3875644
20,1;-0,2325114
20,2;-0,2882586
20,3;-0,3283642
20,5;-0,4209182
20,6;-0,5651664
20,7;-0,8228965
20,8;-0,5041535
21;-0,3767635
21,1;-0,6358236
21,2;-0,6535707
21,3;-0,3510344
21,5;-0,6296593
21,6;-0,5465129
21,7;-0,7473154
21,8;-0,5984204
22;-0,310156
22,1;-0,4754945
22,2;-0,4754945
22,3;-0,4754945
22,5;-0,4500839
22,6;-0,377188
22,7;-0,4500839
22,8;-0,377188
23;-0,3879123
23,1;-0,4500839
23,2;-0,4754945
23,3;-0,4754945
23,5;-0,2421318
23,6;-0,1202848
23,7;-0,3701009
23,8;-0,4754945
24;-0,5767427
24,1;-0,5767427
24,2;-0,4054846
24,3;-0,3130862
24,5;-0,8108373
24,6;-0,4500839
24,7;-0,2049612
24,8;-0,4411288
25;-0,3479495
