;AMPpm;AMPa;AMPb
0;-36,73421;-44,48976;-40,611985
0,1;-42,10195;-62,5667;-52,334325
0,2;-47,20941;-55,57654;-51,392975
0,3;-55,81225;-54,1636;-54,987925
0,5;-53,54684;-58,9885;-56,26767
0,6;-62,9561;-60,50413;-61,730115
0,7;-54,04998;-62,66311;-58,356545
0,8;-55,15387;-52,34281;-53,74834
1;-54,4689;-71,90105;-63,184975
1,1;-48,43134;-50,95058;-49,69096
1,2;-47,97005;-50,22432;-49,097185
1,3;-52,92333;-44,83695;-48,88014
1,5;-44,00211;-40,66447;-42,33329
1,6;-33,28855;-29,70892;-31,498735
1,7;-24,33483;-20,94864;-22,641735
1,8;-17,43585;-13,91743;-15,67664
2;-12,76922;-9,13084;-10,95003
2,1;-7,59999;-5,06106;-6,330525
2,2;-3,07219;-1,84488;-2,458535
2,3;-0,55555;0,59633;0,02039
2,5;1,39152;2,96172;2,17662
2,6;3,70386;5,92784;4,81585
2,7;7,6864;8,90103;8,293715
2,8;10,77661;10,46169;10,61915
3;13,53756;14,93466;14,23611
3,1;15,1715;22,27103;18,721265
3,2;17,60621;16,79834;17,202275
3,3;22,52066;11,76233;17,141495
3,5;22,33074;8,56899;15,449865
3,6;16,05509;4,96846;10,511775
3,7;12,66623;-0,67794;5,994145
3,8;10,16761;-3,03082;3,568395
4;6,26561;5,5839;5,924755
4,1;0,03651;11,95506;5,995785
4,2;7,27386;16,59814;11,936
4,3;14,63994;20,47866;17,5593
4,5;19,47543;23,41054;21,442985
4,6;23,26845;25,98967;24,62906
4,7;26,26269;28,43716;27,349925
4,8;28,59063;30,0708;29,330715
5;30,6802;31,78899;31,234595
5,1;32,48188;33,2348;32,85834
5,2;33,48201;34,05967;33,77084
5,3;33,92022;34,36837;34,144295
5,5;33,75721;34,2641;34,010655
5,6;33,5227;34,1989;33,8608
5,7;33,63044;34,41299;34,021715
5,8;33,84852;34,49823;34,173375
6;33,91789;34,59378;34,255835
6,1;34,14836;34,75226;34,45031
6,2;34,03014;34,69866;34,3644
6,3;33,66721;34,2663;33,966755
6,5;33,41234;34,026;33,71917
6,6;33,13188;33,71655;33,424215
6,7;33,05238;33,52211;33,287245
6,8;32,98852;33,522;33,25526
7;32,9442;33,50502;33,22461
7,1;32,69033;33,18578;32,938055
7,2;32,66145;33,21796;32,939705
7,3;32,63737;33,36064;32,999005
7,5;32,50297;33,25908;32,881025
7,6;32,46209;33,23216;32,847125
7,7;32,53876;33,18528;32,86202
7,8;32,48528;33,18473;32,835005
8;32,42635;32,98897;32,70766
8,1;32,43545;33,06206;32,748755
8,2;32,52116;33,24087;32,881015
8,3;32,60807;33,48145;33,04476
8,5;32,63043;33,45958;33,045005
8,6;32,50624;33,27873;32,892485
8,7;32,59498;33,25728;32,92613
8,8;32,52535;33,27209;32,89872
9;32,41842;33,14035;32,779385
9,1;32,24663;33,05556;32,651095
9,2;32,16679;33,1026;32,634695
9,3;32,02169;33,18943;32,60556
9,5;32,10891;33,11321;32,61106
9,6;32,19186;33,17607;32,683965
9,7;32,22483;33,14395;32,68439
9,8;32,34722;33,38857;32,867895
10;32,49699;33,54894;33,022965
10,1;32,36155;33,36445;32,863
10,2;32,74265;33,64376;33,193205
10,3;33,17873;34,11577;33,64725
10,5;33,20303;34,26733;33,73518
