tensão (V);atenuação 15GHz (dB);atenuação 15GHz (dB)
0;-2,8;-2,3
0,01;-2,8;-2,3
0,02;-2,8;-2,3
0,03;-2,8;-2,3
0,04;-2,8;-2,3
0,05;-2,8;-2,3
0,06;-2,8;-2,3
0,07;-2,8;-2,3
0,08;-2,8;-2,3
0,09;-2,8;-2,3
0,1;-2,8;-2,3
0,11;-2,8;-2,3425
0,12;-2,8;-2,36
0,13;-2,8;-2,3775
0,14;-2,8;-2,395
0,15;-2,8;-2,4125
0,16;-2,8;-2,43
0,17;-2,8;-2,4475
0,18;-2,8;-2,465
0,19;-2,8;-2,4825
0,2;-2,8;-2,5
0,21;-2,82;-2,5175
0,22;-2,83;-2,535
0,23;-2,85;-2,5525
0,24;-2,86;-2,57
0,25;-2,88;-2,5875
0,26;-2,89;-2,605
0,27;-2,91;-2,6225
0,28;-2,92;-2,64
0,29;-2,94;-2,6575
0,3;-2,95;-2,675
0,31;-2,97;-2,675
0,32;-2,98;-2,7
0,33;-3;-2,725
0,34;-3,01;-2,75
0,35;-3,03;-2,775
0,36;-3,04;-2,8
0,37;-3,06;-2,825
0,38;-3,07;-2,85
0,39;-3,09;-2,875
0,4;-3,1;-2,9
0,41;-3,2;-3,01
0,42;-3,31;-3,12
0,43;-3,43;-3,23
0,44;-3,55;-3,34
0,45;-3,67;-3,45
0,46;-3,78;-3,56
0,47;-3,9;-3,67
0,48;-4,02;-3,78
0,49;-4,13;-3,89
0,5;-4,25;-4
0,51;-4,49;-4,2
0,52;-4,74;-4,4
0,53;-4,98;-4,6
0,54;-5,22;-4,8
0,55;-5,47;-5
0,56;-5,71;-5,2
0,57;-5,95;-5,4
0,58;-6,19;-5,6
0,59;-6,44;-5,8
0,6;-6,68;-6
0,61;-7,02;-6,3
0,62;-7,35;-6,6
0,63;-7,68;-6,9
0,64;-8,01;-7,2
0,65;-8,34;-7,5
0,66;-8,68;-7,8
0,67;-9,01;-8,1
0,68;-9,34;-8,4
0,69;-9,67;-8,7
0,7;-10;-9
0,71;-10,33;-9,3
0,72;-10,66;-9,6
0,73;-10,99;-9,9
0,74;-11,33;-10,2
0,75;-11,66;-10,5
0,76;-11,99;-10,8
0,77;-12,32;-11,1
0,78;-12,65;-11,4
0,79;-12,98;-11,7
0,8;-13,31;-12
